eventID,institutionCode,ownerInstitutionCode,datasetName,rightsHolder,language,license,datasetID,eventDate,year,eventDate 2,month,day,eventRemarks,samplingProtocol,habitat,dynamicProperties,recordedBy,locationID,continent,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,waterBody,municipality,countryCode,decimalLongitude,decimalLatitude,geodeticDatum,coordinateUncertaintyInMeters
BEVL_VMM_15000:21029518,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-13,2000,07_13,7,13,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Rk:Small river;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""No remarks"",""Water surface"":""Floating waste,Algal foam"",""Water column"":""No visual pollution"",""Pollution"":""Unknown"",""current"":""running"",""structureRight"":""dug"",""structureLeft"":""dug""}",Philippe Michiels;Geert Meganck,BEVL_VMM_15000,Europe,102400,217580,Belgian Lambert 72,Scheldt river basin;ISABELLAWATERING;BEVL08_157,Assenede,BE,3.68678,51.26614,WGS84,30
BEVL_VMM_532170:21032017,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-08,2000,08_08,8,8,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches,Solid waste,Plastics,Biological life"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_532170,Europe,109750,161532,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_67,Brakel,BE,3.79824,50.7629,WGS84,30
BEVL_VMM_533800:21032018,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-08,2000,08_08,8,8,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Sand"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_533800,Europe,116346,159078,Belgian Lambert 72,Scheldt river basin;MARK (Denderbekken);BEVL08_72,Lessen,BE,3.89195,50.74126,WGS84,30
BEVL_VMM_536050:21032019,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-08,2000,08_08,8,8,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches,Plastics"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_536050,Europe,124802,152963,Belgian Lambert 72,,Edingen,BE,4.01217,50.68671,WGS84,30
BEVL_VMM_716000:21032020,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-08,2000,08_08,8,8,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches,Biological life"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_716000,Europe,101979,175223,Belgian Lambert 72,Scheldt river basin;ZWALM;BEVL11_63,Zwalm,BE,3.68632,50.88538,WGS84,30
BEVL_VMM_46200:21032025,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-07,2000,08_07,8,7,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""Methane production"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_46200,Europe,126812,209604,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_175,Stekene,BE,4.03704,51.19595,WGS84,30
BEVL_VMM_519000:21032026,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-07,2000,08_07,8,7,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches,Solid waste,Plastics"",""Water surface"":""No visual pollution"",""Water column"":""Methane production"",""Pollution"":""Industrial discharges"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""dug""}",Philippe Michiels;Joost Mertens,BEVL_VMM_519000,Europe,128239,185132,Belgian Lambert 72,Scheldt river basin;GROOTEBEEK;BEVL_WLC_L111_1027,Aalst,BE,4.05891,50.97603,WGS84,30
BEVL_VMM_524000:21032027,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-07,2000,08_07,8,7,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Gravel-boulders"",""Substrate condition"":""Leaves & branches,Solid waste"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",,BEVL_VMM_524000,Europe,132217,175406,Belgian Lambert 72,Scheldt river basin;BELLEBEEK;BEVL05_66,Affligem,BE,4.11602,50.88874,WGS84,30
BEVL_VMM_543000:21032028,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-08-07,2000,08_07,8,7,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_543000,Europe,121033,188535,Belgian Lambert 72,Scheldt river basin;MOLENBEEK - GROTE BEEK;BEVL05_32,Wichelen,BE,3.95604,51.00631,WGS84,30
BEVL_VMM_35000:21032115,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-13,2000,07_13,7,13,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Rk:Small river;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Oily substances"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",,BEVL_VMM_35000,Europe,109545,207030,Belgian Lambert 72,Scheldt river basin;AVRIJEVAART + SLEIDINGSVAARDEKE;BEVL05_152,Evergem,BE,3.79032,51.17186,WGS84,30
