sample_Id,type,language,rightsHolder,institutionID,institutionCode,datasetID,datasetName,samplingProtocol,sampleSizeValue,sampleSizeUnit,license,waterBody,countryCode,sampling_date,eventDate,day,month,year,decimalLatitude,decimalLongitude,geodeticDatum
Heerenlaak_6sep06,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,6/09/06,2006/6/9,9,6,2006,51.098417,5.816372,WGS84
Heerenlaak_20oct06,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,20/10/06,2006/10/20,20,10,2006,51.098417,5.816372,WGS84
Heerenlaak_17apr07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,17/04/07,2007/4/17,17,4,2007,51.098417,5.816372,WGS84
Heerenlaak_31may07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,31/05/07,2007/5/31,31,5,2007,51.098417,5.816372,WGS84
Heerenlaak_22jun07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,22/06/07,2007/6/22,22,6,2007,51.098417,5.816372,WGS84
Heerenlaak_12jul07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,12/07/07,2007/12/7,7,12,2007,51.098417,5.816372,WGS84
Heerenlaak_24aug07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Heerenlaak,BE,24/08/07,2007/8/24,24,8,2007,51.098417,5.816372,WGS84
Kessenich_7sep06,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,7/09/06,2006/7/9,9,7,2006,51.138642,5.831066,WGS84
Kessenich_20oct06,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,20/10/06,2006/10/20,20,10,2006,51.138642,5.831066,WGS84
Kessenich_18apr07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,18/04/07,2007/4/18,18,4,2007,51.138642,5.831066,WGS84
Kessenich_31may07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,31/05/07,2007/5/31,31,5,2007,51.138642,5.831066,WGS84
Kessenich_22jun07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,22/06/07,2007/6/22,22,6,2007,51.138642,5.831066,WGS84
Kessenich_12jul07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,12/07/07,2007/12/7,7,12,2007,51.138642,5.831066,WGS84
Kessenich_24aug07,event,en,Ugent,Ugent,Ugent,doi.org/10.15468/3pxfgi,ECOPOT_1: Phytoplankton in Flemish Waterbodies,waterSampling,1,Liter,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Kessenich,BE,24/08/07,2007/8/24,24,8,2007,51.138642,5.831066,WGS84
