occurrenceID,type,eventID,scientificName,basisOfRecord,samplingProtocol,identifiedBy,species,oranismQuantityType,organismQuantity
Ugent:Ecopot1:0000,event,Kessenich_31may07,Stephanodiscus,HumanObservation,watersample,J. Van Wichelen,Stephanodiscus,Calculated Individuals per liter,13291.60
Ugent:Ecopot1:0001,event,Heerenlaak_22jun07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,6401.09
Ugent:Ecopot1:0002,event,Kessenich_24aug07,Pseudoanabaena,HumanObservation,watersample,J. Van Wichelen,Pseudoanabaena,Calculated Individuals per liter,5409.37
Ugent:Ecopot1:0003,event,Kessenich_18apr07,Stephanodiscus,HumanObservation,watersample,J. Van Wichelen,Stephanodiscus,Calculated Individuals per liter,4958.59
Ugent:Ecopot1:0004,event,Kessenich_12jul07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,3624.28
Ugent:Ecopot1:0005,event,Kessenich_22jun07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,3326.76
Ugent:Ecopot1:0007,event,Kessenich_18apr07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,1893.28
Ugent:Ecopot1:0008,event,Heerenlaak_17apr07,Stephanodiscus,HumanObservation,watersample,J. Van Wichelen,Stephanodiscus,Calculated Individuals per liter,1502.60
Ugent:Ecopot1:0009,event,Kessenich_22jun07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_smaler25,Calculated Individuals per liter,1460.53
Ugent:Ecopot1:0010,event,Heerenlaak_24aug07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,1365.87
Ugent:Ecopot1:0011,event,Heerenlaak_12jul07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,1352.34
Ugent:Ecopot1:0012,event,Heerenlaak_22jun07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,1172.03
Ugent:Ecopot1:0013,event,Heerenlaak_24aug07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,1081.87
Ugent:Ecopot1:0014,event,Kessenich_31may07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,1004.60
Ugent:Ecopot1:0015,event,Kessenich_12jul07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,973.69
Ugent:Ecopot1:0016,event,Heerenlaak_6sep06,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,800.59
Ugent:Ecopot1:0017,event,Heerenlaak_20oct06,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,784.36
Ugent:Ecopot1:0019,event,Heerenlaak_12jul07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,662.65
Ugent:Ecopot1:0020,event,Kessenich_7sep06,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,604.58
Ugent:Ecopot1:0021,event,Heerenlaak_6sep06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,519.30
Ugent:Ecopot1:0022,event,Heerenlaak_17apr07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,465.81
Ugent:Ecopot1:0023,event,Kessenich_12jul07,Tribonema,HumanObservation,watersample,J. Van Wichelen,Tribonema,Calculated Individuals per liter,459.80
Ugent:Ecopot1:0024,event,Kessenich_24aug07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,431.75
Ugent:Ecopot1:0026,event,Kessenich_7sep06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,318.20
Ugent:Ecopot1:0027,event,Kessenich_31may07,Micractinium,HumanObservation,watersample,J. Van Wichelen,Micractinium,Calculated Individuals per liter,309.11
Ugent:Ecopot1:0029,event,Heerenlaak_20oct06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella_10Âµm,Calculated Individuals per liter,297.52
Ugent:Ecopot1:0030,event,Kessenich_18apr07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,270.47
Ugent:Ecopot1:0031,event,Heerenlaak_12jul07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_smaler25,Calculated Individuals per liter,270.47
Ugent:Ecopot1:0032,event,Heerenlaak_20oct06,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,236.66
Ugent:Ecopot1:0033,event,Heerenlaak_6sep06,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,227.19
Ugent:Ecopot1:0035,event,Heerenlaak_6sep06,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,216.37
Ugent:Ecopot1:0036,event,Heerenlaak_31may07,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,204.20
Ugent:Ecopot1:0037,event,Heerenlaak_6sep06,Stephanodiscus,HumanObservation,watersample,J. Van Wichelen,Stephanodiscus,Calculated Individuals per liter,194.74
Ugent:Ecopot1:0039,event,Heerenlaak_17apr07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_smaler25,Calculated Individuals per liter,180.31
Ugent:Ecopot1:0040,event,Kessenich_18apr07,Asterionella formosa,HumanObservation,watersample,J. Van Wichelen,Asterionella formosa,Calculated Individuals per liter,180.31
Ugent:Ecopot1:0041,event,Kessenich_7sep06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella_10Âµm,Calculated Individuals per liter,167.05
Ugent:Ecopot1:0042,event,Heerenlaak_17apr07,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,165.29
Ugent:Ecopot1:0045,event,Heerenlaak_6sep06,Dictyosphaerium,HumanObservation,watersample,J. Van Wichelen,Dictyosphaerium,Calculated Individuals per liter,140.64
Ugent:Ecopot1:0046,event,Heerenlaak_31may07,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,140.03
Ugent:Ecopot1:0047,event,Kessenich_18apr07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_smaler25,Calculated Individuals per liter,135.23
Ugent:Ecopot1:0048,event,Kessenich_12jul07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_smaler25,Calculated Individuals per liter,135.23
Ugent:Ecopot1:0049,event,Heerenlaak_20oct06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,128.47
Ugent:Ecopot1:0050,event,Kessenich_20oct06,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,128.36
Ugent:Ecopot1:0051,event,Kessenich_31may07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_smaler25,Calculated Individuals per liter,115.92
Ugent:Ecopot1:0052,event,Kessenich_22jun07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,108.19
Ugent:Ecopot1:0053,event,Kessenich_12jul07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,108.19
Ugent:Ecopot1:0054,event,Kessenich_22jun07,Stephanodiscus,HumanObservation,watersample,J. Van Wichelen,Stephanodiscus,Calculated Individuals per liter,108.19
Ugent:Ecopot1:0055,event,Heerenlaak_17apr07,Dinobryon,HumanObservation,watersample,J. Van Wichelen,Dinobryon,Calculated Individuals per liter,105.18
Ugent:Ecopot1:0056,event,Kessenich_24aug07,Microcystis,HumanObservation,watersample,J. Van Wichelen,Microcystis,Calculated Individuals per liter,97.00
Ugent:Ecopot1:0057,event,Kessenich_7sep06,Rhodomonas,HumanObservation,watersample,J. Van Wichelen,Rhodomonas,Calculated Individuals per liter,95.46
Ugent:Ecopot1:0058,event,Heerenlaak_12jul07,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,94.66
Ugent:Ecopot1:0059,event,Heerenlaak_24aug07,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,94.66
Ugent:Ecopot1:0060,event,Heerenlaak_12jul07,Tribonema,HumanObservation,watersample,J. Van Wichelen,Tribonema,Calculated Individuals per liter,94.66
Ugent:Ecopot1:0061,event,Kessenich_18apr07,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,90.16
Ugent:Ecopot1:0062,event,Kessenich_18apr07,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,90.16
Ugent:Ecopot1:0063,event,Heerenlaak_22jun07,Stephanodiscus,HumanObservation,watersample,J. Van Wichelen,Stephanodiscus,Calculated Individuals per liter,90.16
Ugent:Ecopot1:0064,event,Kessenich_18apr07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,90.16
Ugent:Ecopot1:0065,event,Heerenlaak_6sep06,Tetrastrum,HumanObservation,watersample,J. Van Wichelen,Tetrastrum,Calculated Individuals per liter,86.55
Ugent:Ecopot1:0066,event,Heerenlaak_12jul07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,81.14
Ugent:Ecopot1:0067,event,Kessenich_7sep06,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,79.55
Ugent:Ecopot1:0068,event,Kessenich_12jul07,Aphanizomenon,HumanObservation,watersample,J. Van Wichelen,Aphanizomenon,Calculated Individuals per liter,75.01
Ugent:Ecopot1:0069,event,Kessenich_12jul07,Asterionella formosa,HumanObservation,watersample,J. Van Wichelen,Asterionella formosa,Calculated Individuals per liter,64.60
Ugent:Ecopot1:0070,event,Heerenlaak_31may07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,64.18
Ugent:Ecopot1:0071,event,Kessenich_22jun07,Aphanizomenon,HumanObservation,watersample,J. Van Wichelen,Aphanizomenon,Calculated Individuals per liter,58.00
Ugent:Ecopot1:0072,event,Kessenich_7sep06,Actinocyclus,HumanObservation,watersample,J. Van Wichelen,Actinocyclus,Calculated Individuals per liter,55.68
