SampleId;species;individualsPerMl
Schulensmeer_14jul08;Procaryotic_ultraplankton;172304,3347
GroteVijverMechelen_16jul08;Procaryotic_ultraplankton;135458,03
GroteVijverMechelen_27jun08;Procaryotic_ultraplankton;86149,04
Hazewinkel_29jul14;Procaryotic_ultraplankton;70938,88
Hazewinkel_17jun14;Procaryotic_ultraplankton;68929,28
Hazewinkel_26aug14;Procaryotic_ultraplankton;67321,6
GroteVijverMechelen_25aug08;Procaryotic_ultraplankton;51859,455
Schulensmeer_19jun08;Procaryotic_ultraplankton;49527,98861
Vinne_27aug08;Procaryotic_ultraplankton;26141,34409
Schulensmeer_27aug08;Procaryotic_ultraplankton;21524,19355
Blokkersdijk_29sep08;Aphanizomenon_flos-aquae;18047,61905
Hazewinkel_20may14;Procaryotic_ultraplankton;16547,67136
Hazewinkel_23sep14;Procaryotic_ultraplankton;11655,68
Hazewinkel_7oct14;Procaryotic_ultraplankton;11655,68
Schulensmeer_22sep08;Procaryotic_ultraplankton;8780,604839
RauwseMeer_17apr13;cf_Dictyosphaerium_tetrachotomum_fallax_cells;5760,820641
Schulensmeer_19jun08;centricaat_sp;5553,261273
GroteVijverMechelen_19sep08;Procaryotic_ultraplankton;5462,81922
Vinne_14jul08;Procaryotic_ultraplankton;4931,572581
Hazewinkel_26aug14;Chroococcus_limneticus;4660,402663
KanaalplasDeMaat_24oct13;Aulacoseira_cf_italica_broad_colonies;4527,868812
KanaalplasDeMaat_17sep13;Planktomyces_bekefii;4509,080974
Vinne_22sep08;Syncrypta_eleochrus;4361,199953
Schulensmeer_29may08;Asterionella_formosa_cells;4233,765364
GroteVijverMechelen_9apr08;Procaryotic_ultraplankton;3967,39
GroteVijverMechelen_16jul08;Chlorella_vulgaris_v_vulgaris_f_minuscula;3747,401441
Schulensmeer_27aug08;Stephanodiscus_hantzschii;3349,401564
GroteVijverMechelen_16jul08;Chrysochromulina_parva;3269,284705
Vinne_22sep08;Procaryotic_ultraplankton;2971,679317
Hazewinkel_23sep14;Chrysochromulina_cf_minor;2873,001171
Hazewinkel_29jul14;Chrysochromulina_cf_minor;2852,037829
Hazewinkel_26aug14;Chrysochromulina_cf_minor;2723,137242
Schulensmeer_14jul08;Pseudanabaena_limnetica;2605,090105
Schulensmeer_19jun08;Asterionella_formosa_cells;2529,495973
Schulensmeer_27aug08;Limnothrix_redekei;2356,986286
GroteVijverMechelen_25aug08;Chroomonas_acuta;2344,581095
Hazewinkel_29jul14;Chroococcus_limneticus;2319,276066
Schulensmeer_14jul08;Stephanodiscus_hantzschii;1922,804601
KanaalplasDeMaat_21aug13;Chlorella_vulgaris_v_vulgaris_f_minuscula;1897,571577
KanaalplasDeMaat_19jun13;Fragillaria_crotonensis_cells;1806,325695
Vinne_19jun08;Procaryotic_ultraplankton;1804,233871
Schulensmeer_22sep08;Planktothrix_agardhii;1800
Schulensmeer_14jul08;Chlamydomonas_sp;1767,739714
Hazewinkel_23sep14;Chroomonas_acuta;1688,710612
Schulensmeer_27aug08;Aphanizomenon_flos-aquae;1674,038932
Vinne_27aug08;Didymocystis_inconspica;1628,181316
Vinne_27aug08;Chrysococcus_minutus;1599,106649
Hazewinkel_23apr14;Procaryotic_ultraplankton;1597,423721
RauwseMeer_17apr13;Fragilaria_ulna_acus;1596,496482
Blokkersdijk_9apr08;Procaryotic_ultraplankton;1563,669355
KanaalplasDeMaat_19jun13;Dinobryon_divergens;1487,269484
KanaalplasDeMaat_16apr13;cf_Dictyosphaerium_tetrachotomum_fallax_cells;1438,052387
Schulensmeer_14jul08;Chlorella_sp;1395,583985
Schulensmeer_22sep08;Geitlerinema_sp;1395,583985
Schulensmeer_22sep08;Rhodomonas_lacustris;1366,509318
Schulensmeer_14jul08;Cryptomonas_erosa;1364,571007
Schulensmeer_29may08;Procaryotic_ultraplankton;1283,010753
KanaalplasDeMaat_21aug13;Chrysochromulina_parva;1277,572943
GroteVijverMechelen_19sep08;Aulacoseira_ambigua_cells;1232,765853
Hazewinkel_17jun14;Aphanothece_minutissima;1216,502166
Blokkersdijk_7may08;Procaryotic_ultraplankton;1202,822581
Vinne_27aug08;Monoraphidium_contortum;1192,06132
Vinne_27aug08;coccaal_sp;1192,06132
Hazewinkel_20may14;Chrysophyte_flagellate_sp;1160,531644
Schulensmeer_27aug08;Planktothrix_agardhii;1150,025955
Vinne_22sep08;Chrysococcus_rufescens;1133,911988
KanaalplasDeMaat_21aug13;Chroomonas_acuta;1127,270244
RauwseMeer_17jul13;Uroglena_sp;1111,192552
Schulensmeer_19jun08;Cryptomonas_erosa;1075,762655
Schulensmeer_27aug08;Geitlerinema_sp;1054,441233
Schulensmeer_22sep08;Limnothrix_redekei;1050
Vinne_19jun08;Chroomonas_acuta;1017,613322
Schulensmeer_14jul08;Trachelomonas_volvocina;992,4152781
Schulensmeer_29may08;Chroomonas_acuta;990,6593832
Schulensmeer_19jun08;Chlamydomonas_sp;988,5386559
GroteVijverMechelen_16jul08;Fragillaria_crotonensis_cells;982,077619
GaversHarelbeke_27apr11;Dinobryon_divergens;960,8877122
Schulensmeer_19jun08;Rhodomonas_lacustris;959,4639896
Hazewinkel_29jul14;Aphanothece_minutissima;950,6792763
Vinne_27aug08;Dictyosphaerium_pulchellum;930,3893232
KanaalplasDeMaat_16apr13;Aulacoseira_cf_italica_narrow_colonies;886,9424903
Vinne_27aug08;Cryptomonas_erosa;872,2399905
Vinne_27aug08;flagellaat_3to5_µm_2;872,2399905
Schulensmeer_27aug08;Trachelomonas_volvocina;868,3633683
Hazewinkel_23apr14;Chroomonas_acuta;865,107805
