occurenceID;type;event ID;scientificName;basisOfRecord;samplingProtocol;identifiedBy;species;phylum;oranismQuantityType;organismQuantity
Ugent:Ecopot2:0001;event;KanaalplasDeMaat_24oct13;Anabaena sp.;HumanObservation;watersample;J. Van Wichelen;Anabaena sp.;Cyanobacteria;Calculated Individuals per liter;0,002
Ugent:Ecopot2:0002;event;KanaalplasDeMaat_17sep13;Aphanocapsa sp. (a);HumanObservation;watersample;J. Van Wichelen;Aphanocapsa sp. (a);Cyanobacteria;Calculated Individuals per liter;0,002
Ugent:Ecopot2:0003;event;KanaalplasDeMaat_17sep13;Botryococcus sp.;HumanObservation;watersample;J. Van Wichelen;Botryococcus sp.;Chlorophyta;Calculated Individuals per liter;0,002
Ugent:Ecopot2:0004;event;KanaalplasDeMaat_17sep13;Pediastrum duplex;HumanObservation;watersample;J. Van Wichelen;Pediastrum duplex;Chlorophyta;Calculated Individuals per liter;0,004
Ugent:Ecopot2:0005;event;RauwseMeer_17sep13;Microcystis sp.;HumanObservation;watersample;J. Van Wichelen;Microcystis sp.;Cyanobacteria;Calculated Individuals per liter;0,008
Ugent:Ecopot2:0006;event;RauwseMeer_24oct13;Botryococcus sp.;HumanObservation;watersample;J. Van Wichelen;Botryococcus sp.;Chlorophyta;Calculated Individuals per liter;0,008403361
Ugent:Ecopot2:0007;event;RauwseMeer_17sep13;Actinocyclus sp.;HumanObservation;watersample;J. Van Wichelen;Actinocyclus sp.;Ochrophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0008;event;KanaalplasDeMaat_24oct13;Anabaena sp.;HumanObservation;watersample;J. Van Wichelen;Anabaena sp.;Cyanobacteria;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0009;event;RauwseMeer_21aug13;Anabaena sp.;HumanObservation;watersample;J. Van Wichelen;Anabaena sp.;Cyanobacteria;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0010;event;RauwseMeer_24oct13;Anabaena sp.;HumanObservation;watersample;J. Van Wichelen;Anabaena sp.;Cyanobacteria;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0011;event;KanaalplasDeMaat_21aug13;Aulacoseira italica;HumanObservation;watersample;J. Van Wichelen;Aulacoseira italica;Ochrophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0012;event;RauwseMeer_17sep13;Bacillariophyta sp. (b);HumanObservation;watersample;J. Van Wichelen;Bacillariophyta sp. (b);Ochrophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0013;event;RauwseMeer_21aug13;Botryococcus sp.;HumanObservation;watersample;J. Van Wichelen;Botryococcus sp.;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0014;event;KanaalplasDeMaat_24oct13;Ceratium hirudinella;HumanObservation;watersample;J. Van Wichelen;Ceratium hirudinella;Dinophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0015;event;RauwseMeer_24oct13;Closterium acutum variabile;HumanObservation;watersample;J. Van Wichelen;Closterium acutum variabile;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0016;event;RauwseMeer_24oct13;Coelastrum microporum;HumanObservation;watersample;J. Van Wichelen;Coelastrum microporum;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0017;event;KanaalplasDeMaat_17sep13;Cosmarium formosulum;HumanObservation;watersample;J. Van Wichelen;Cosmarium formosulum;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0018;event;KanaalplasDeMaat_17sep13;Cosmarium phaseolum;HumanObservation;watersample;J. Van Wichelen;Cosmarium phaseolum;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0019;event;KanaalplasDeMaat_17sep13;Cosmarium reniforme var. compressum;HumanObservation;watersample;J. Van Wichelen;Cosmarium reniforme var. compressum;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0020;event;RauwseMeer_17sep13;Cosmarium reniforme var. reniforme;HumanObservation;watersample;J. Van Wichelen;Cosmarium reniforme var. reniforme;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0021;event;KanaalplasDeMaat_21aug13;Cosmarium subgranatum var. borgei;HumanObservation;watersample;J. Van Wichelen;Cosmarium subgranatum var. borgei;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0022;event;KanaalplasDeMaat_17sep13;Cosmarium subschreinschii;HumanObservation;watersample;J. Van Wichelen;Cosmarium subschreinschii;Chlorophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0023;event;RauwseMeer_24oct13;Cryptomonas marssonii;HumanObservation;watersample;J. Van Wichelen;Cryptomonas marssonii;Cryptophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0024;event;KanaalplasDeMaat_21aug13;Cyclotella meneghiniana;HumanObservation;watersample;J. Van Wichelen;Cyclotella meneghiniana;Ochrophyta;Calculated Individuals per liter;0,036363636
Ugent:Ecopot2:0025;event;RauwseMeer_24oct13;Desmodesmus quadricauda;HumanObservation;watersample;J. Van Wichelen;Desmodesmus quadricauda;Chlorophyta;Calculated Individuals per liter;0,036363636
