occurrenceID,type,basisOfREcord,SampleId,species,scientificName,organismQuantity,organismQuantityType,identifiedBy
Ugent:Ecopot1:0000,event,HumanObservation,Kessenich_31may07,Stephanodiscus,Stephanodiscus,13291.60323,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0001,event,HumanObservation,Heerenlaak_22jun07,Rhodomonas,Rhodomonas,6401.091866,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0002,event,HumanObservation,Kessenich_24aug07,Pseudoanabaena,Pseudoanabaena,5409.373408,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0003,event,HumanObservation,Kessenich_18apr07,Stephanodiscus,Stephanodiscus,4958.592291,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0004,event,HumanObservation,Kessenich_12jul07,Aulacoseira,Aulacoseira,3624.280183,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0005,event,HumanObservation,Kessenich_22jun07,Rhodomonas,Rhodomonas,3326.764646,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0006,event,HumanObservation,Kessenich_18apr07,unkown_flagellate,unkown flagellate,3155.467821,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0007,event,HumanObservation,Kessenich_18apr07,Rhodomonas,Rhodomonas,1893.280693,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0008,event,HumanObservation,Heerenlaak_17apr07,Stephanodiscus,Stephanodiscus,1502.603724,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0009,event,HumanObservation,Kessenich_22jun07,Cryptomonas_smaler25,Cryptomonas smaler25,1460.53082,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0010,event,HumanObservation,Heerenlaak_24aug07,Rhodomonas,Rhodomonas,1365.866786,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0011,event,HumanObservation,Heerenlaak_12jul07,Rhodomonas,Rhodomonas,1352.343352,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0012,event,HumanObservation,Heerenlaak_22jun07,Cryptomonas_larger25,Cryptomonas larger25,1172.030905,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0013,event,HumanObservation,Heerenlaak_24aug07,Cryptomonas_larger25,Cryptomonas larger25,1081.874682,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0014,event,HumanObservation,Kessenich_31may07,Rhodomonas,Rhodomonas,1004.597919,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0015,event,HumanObservation,Kessenich_12jul07,Rhodomonas,Rhodomonas,973.6872134,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0016,event,HumanObservation,Heerenlaak_6sep06,Rhodomonas,Rhodomonas,800.5872644,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0017,event,HumanObservation,Heerenlaak_20oct06,Rhodomonas,Rhodomonas,784.3591442,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0018,event,HumanObservation,Heerenlaak_6sep06,unknown_pennate_diatom_2,unknown pennate diatom 2,746.4935303,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0019,event,HumanObservation,Heerenlaak_12jul07,Cryptomonas_larger25,Cryptomonas larger25,662.6482425,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0020,event,HumanObservation,Kessenich_7sep06,Cryptomonas_larger25,Cryptomonas larger25,604.577028,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0021,event,HumanObservation,Heerenlaak_6sep06,Cyclotella,Cyclotella,519.2998472,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0022,event,HumanObservation,Heerenlaak_17apr07,Rhodomonas,Rhodomonas,465.8071546,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0023,event,HumanObservation,Kessenich_12jul07,Tribonema,Tribonema,459.7967397,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0024,event,HumanObservation,Kessenich_24aug07,Rhodomonas,Rhodomonas,431.7452747,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0025,event,HumanObservation,Kessenich_12jul07,unknown_centricate_diatom,unknown centricate diatom,324.5624045,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0026,event,HumanObservation,Kessenich_7sep06,Cyclotella,Cyclotella,318.1984358,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0027,event,HumanObservation,Kessenich_31may07,Micractinium,Micractinium,309.1070519,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0028,event,HumanObservation,Heerenlaak_20oct06,unkown_flagellate,unkown flagellate,307.2511574,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0029,event,HumanObservation,Heerenlaak_20oct06,Cyclotella_10µm,Cyclotella 10µm,297.5155374,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0030,event,HumanObservation,Kessenich_18apr07,Cryptomonas_larger25,Cryptomonas larger25,270.4686704,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0031,event,HumanObservation,Heerenlaak_12jul07,Cryptomonas_smaler25,Cryptomonas smaler25,270.4686704,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0032,event,HumanObservation,Heerenlaak_20oct06,Cryptomonas_larger25,Cryptomonas larger25,236.6600866,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0033,event,HumanObservation,Heerenlaak_6sep06,Desmodesmus,Desmodesmus,227.1936831,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0034,event,HumanObservation,Heerenlaak_22jun07,unkown_flagellate,unkown flagellate,225.3905587,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0035,event,HumanObservation,Heerenlaak_6sep06,Cryptomonas_larger25,Cryptomonas larger25,216.3749363,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0036,event,HumanObservation,Heerenlaak_31may07,Rhodomonas,Rhodomonas,204.2038462,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0037,event,HumanObservation,Heerenlaak_6sep06,Stephanodiscus,Stephanodiscus,194.7374427,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0038,event,HumanObservation,Heerenlaak_6sep06,unkown_flagellate,unkown flagellate,194.7374427,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0039,event,HumanObservation,Heerenlaak_17apr07,Cryptomonas_smaler25,Cryptomonas smaler25,180.3124469,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0040,event,HumanObservation,Kessenich_18apr07,Asterionella formosa,Asterionella formosa,180.3124469,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0041,event,HumanObservation,Kessenich_7sep06,Cyclotella_10µm,Cyclotella 10µm,167.0541788,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0042,event,HumanObservation,Heerenlaak_17apr07,Cyclotella,Cyclotella,165.2864097,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0043,event,HumanObservation,Heerenlaak_12jul07,unknown_centricate_diatom,unknown centricate diatom,148.7577687,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0044,event,HumanObservation,Kessenich_7sep06,unkown_flagellate,unkown flagellate,143.1892961,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0045,event,HumanObservation,Heerenlaak_6sep06,Dictyosphaerium,Dictyosphaerium,140.6437086,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0046,event,HumanObservation,Heerenlaak_31may07,Cyclotella,Cyclotella,140.0254945,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0047,event,HumanObservation,Kessenich_18apr07,Cryptomonas_smaler25,Cryptomonas smaler25,135.2343352,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0048,event,HumanObservation,Kessenich_12jul07,Cryptomonas_smaler25,Cryptomonas smaler25,135.2343352,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0049,event,HumanObservation,Heerenlaak_20oct06,Cyclotella,Cyclotella,128.4726184,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0050,event,HumanObservation,Kessenich_20oct06,Rhodomonas,Rhodomonas,128.3567033,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0051,event,HumanObservation,Kessenich_31may07,Cryptomonas_smaler25,Cryptomonas smaler25,115.9151445,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0052,event,HumanObservation,Kessenich_22jun07,Desmodesmus,Desmodesmus,108.1874682,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0053,event,HumanObservation,Kessenich_12jul07,Desmodesmus,Desmodesmus,108.1874682,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0054,event,HumanObservation,Kessenich_22jun07,Stephanodiscus,Stephanodiscus,108.1874682,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0055,event,HumanObservation,Heerenlaak_17apr07,Dinobryon,Dinobryon,105.1822607,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0056,event,HumanObservation,Kessenich_24aug07,Microcystis,Microcystis,97,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0057,event,HumanObservation,Kessenich_7sep06,Rhodomonas,Rhodomonas,95.45953073,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0058,event,HumanObservation,Heerenlaak_12jul07,Chlamydomonas,Chlamydomonas,94.66403464,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0059,event,HumanObservation,Heerenlaak_24aug07,Cyclotella,Cyclotella,94.66403464,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0060,event,HumanObservation,Heerenlaak_12jul07,Tribonema,Tribonema,94.66403464,Calculated Individuals per ML,J. Van Wichelen
Ugent:Ecopot1:0061,event,HumanObservation,Kessenich_18apr07,Nitzschia,Nitzschia,90.15622347,Calculated Individuals per ML,J. Van Wichelen
