sample_Id;type;language;rightsHolder;institutionID;institutionCode;datasetID;datasetName;samplingProtocol;sampleSizeValue;sampleSizeUnit;license;waterBody;countryCode;sampling_date;sampling_date;eventDate;day;month;year;decimalLatitude;decimalLongitude;geodeticDatum
Schulensmeer_24oct08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;24/10/2008;10/24/2008;;24;10;2008;50,961342;5,146583;WGS84
Schulensmeer_29may08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;19/05/2008;05/19/2008;;19;5;2008;50,961342;5,146583;WGS84
Schulensmeer_19jun08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;19/06/2008;06/19/2008;;19;6;2008;50,961342;5,146583;WGS84
Schulensmeer_14jul08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;14/07/2008;07/14/2008;;14;7;2008;50,961342;5,146583;WGS84
Schulensmeer_27aug08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;27/08/2008;08/27/2008;;27;8;2008;50,961342;5,146583;WGS84
Schulensmeer_22sep08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;22/09/2008;09/22/2008;;22;9;2008;50,961342;5,146583;WGS84
Blokkersdijk_9apr08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;9/04/2008;4/09/2008;;9;4;2008;51,232794;4,347203;WGS84
Blokkersdijk_7may08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;7/05/2008;5/07/2008;;7;5;2008;51,232794;4,347203;WGS84
Blokkersdijk_27jun08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;27/06/2008;06/27/2008;;27;6;2008;51,232794;4,347203;WGS84
Blokkersdijk_16jul08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;16/07/2008;7/06/2008;;16;7;2008;51,232794;4,347203;WGS84
