sample_Id;Number;sampling_date;watercourse;type_waterbody;latitude;longitude
Mark_de_mark_17jul07;72000;17/07/2007;Mark_de_mark;large_rivulet_Campine;51,505208;4,781107
Bovenschelde_27jun07;172100;27/06/2007;Bovenschelde;river;51,001785;3,724289
Bovenschelde_27jul07;172100;27/07/2007;Bovenschelde;river;51,001785;3,724289
Bovenschelde_28aug07;172100;28/08/2007;Bovenschelde;river;51,001785;3,724289
Bovenschelde_25sep07;172100;25/09/2007;Bovenschelde;river;51,001785;3,724289
Dender_30jul07;503500;30/07/2007;Dender;river;50,920242;4,060022
Dender_21aug07a;503500;21/08/2007;Dender;river;50,920242;4,060022
Dender_18sep07a;503500;18/09/2007;Dender;river;50,920242;4,060022
Dender_21aug07b;511000;21/08/2007;Dender;river;50,67163;3,866872
Dender_18sep07b;511000;18/09/2007;Dender;river;50,67163;3,866872
Leie_Grensleie_30jul07;571900;30/07/2007;Leie_Grensleie;river;51,03236;3,645297
Leie_Grensleie_27aug07;571900;27/08/2007;Leie_Grensleie;river;51,03236;3,645297
Leie_Grensleie_27sep07;571900;27/09/2007;Leie_Grensleie;river;51,03236;3,645297
Ijzer_22aug07a;910000;22/08/2007;Ijzer;river;51,126983;2,801639
Ijzer_24sep07a;910000;24/09/2007;Ijzer;river;51,126983;2,801639
Ijzer_22aug07b;910550;22/08/2007;Ijzer;river;51,030153;2,854462
Ijzer_24sep07b;910550;24/09/2007;Ijzer;river;51,030153;2,854462
Leopoldkanaal_23jul07;12000;23/07/2007;Leopoldkanaal;channel;51,277715;3,714188
Leopoldkanaal_20aug07;12000;20/08/2007;Leopoldkanaal;channel;51,277715;3,714188
Leopoldkanaal_17sep07;12000;17/09/2007;Leopoldkanaal;channel;51,277715;3,714188
kanaal_GentTerneuzen_23jul07;30000;23/07/2007;kanaal_Gent_naar_Terneuzen;channel;51,207392;3,803033
kanaal_GentTerneuzen_20aug07;30000;20/08/2007;kanaal_Gent_naar_Terneuzen;channel;51,207392;3,803033
kanaal_GentTerneuzen_17sep07;30000;17/09/2007;kanaal_Gent_naar_Terneuzen;channel;51,207392;3,803033
Ringvaart_23sul07;34700;23/07/2007;Ringvaart;channel;51,10441;3,721518
Ringvaart_20aug07;34700;20/08/2007;Ringvaart;channel;51,10441;3,721518
Ringvaart_17sep07;34700;17/09/2007;Ringvaart;channel;51,10441;3,721518
Moervaart_25jul07;40000;25/07/2007;Moervaart;channel;51,175404;3,977919
Moervaart_27aug07;40000;27/08/2007;Moervaart;channel;51,175404;3,977919
